학년,출발 시간,학교 도착 시간,학교까지 걸리는 시간,주사용 교통수단,지각 빈도,지각 원인,지각자 수,TEM,WEATHER CONDITION,WIND,HUMIDITY,BAROMETER
7학년,2,4,1,0,1,늦잠,0명,28,partly sunny,6km/h,89%,1011mbar
7학년,1,4,1,0,0,지각을 잘 안함,6명,29,passing clouds,13km/h,79%,1009mbar
7학년,5,6,0,1,1,늦잠,2명,29,passing clouds,7km/h,84%,1009mbar
7학년,1,1,0,4,0,지각을 잘 안함,0명,29,passing clouds,7km/h,84%,1010mbar
7학년,1,4,1,0,1,택시 호출 지연( 날씨 영향 없는),1명,28,passing clouds,9km/h,84%,1010mbar
7학년,1,4,1,0,1,택시 호출 지연( 날씨 영향 없는),4명,27,rain showers&broken clouds,6km/h,89%,1012mbar
7학년,5,6,0,1,1,늦잠,0명,27,scatteres clouds,6km/h,89%,1010mbar
7학년,2,5,2,0,0,지각을 잘 안함,0명,28,passing clouds,2km/h,84%,1010mbar
7학년,2,3,1,0,0,지각을 잘 안함,0명,27,sunny,2km/h,84%,1009mbar
7학년,4,6,1,4,0,지각을 잘 안함,0명,27,fog,11km/h,89%,1009mbar
7학년,4,5,0,4,0,지각을 잘 안함,0명,28,sunny,11km/h,89%,1009mbar
7학년,3,7,1,2,1,"교통 문제( 차 막힘, 사고)",0명,27,sunny,13km/h,84%,1010mbar
8학년,0,4,2,0,0,늦잠,0명,27,scatteres clouds,13km/h,84%,1009mbar
8학년,4,7,1,2,0,"교통 문제( 차 막힘, 사고)",2명,27,scatteres clouds,7km/h,89%,1008mbar
8학년,2,4,1,0,1,늦잠,4명,27,partly sunny,17km/h,89%,1006mbar
8학년,3,5,1,0,0,지각을 잘 안함,7명,28,scatteres clouds,19km/h,89%,1006mbar
8학년,2,3,1,0,0,지각을 잘 안함,3명,28,broken clouds,17km/h,89%,1008mbar
8학년,2,4,1,0,0,"교통 문제( 차 막힘, 사고)",4명,28,passing clouds,7km/h,89%,1007mbar
8학년,4,5,0,4,0,늦잠,1명,28,broken clouds,9km/h,94%,1009mbar
8학년,2,5,1,0,0,지각을 잘 안함,2명,28,passing clouds,4km/h,84%,1010mbar
8학년,2,3,1,0,0,지각을 잘 안함,2명,28,partly sunny,15km/h,89%,1008mbar
8학년,1,6,3,0,1,"교통 문제( 차 막힘, 사고)",0명,27,sunny,17km/h,89%,1007mbar
8학년,2,5,2,0,0,"교통 문제( 차 막힘, 사고)",0명,28,passing clouds,11km/h,84%%,1011mbar
8학년,5,6,1,2,1,"교통 문제( 차 막힘, 사고)",9명,26,rain&fog,10km/h,94%,1002mbar
8학년,2,4,0,0,0,지각을 잘 안함,0명,27,broken clouds,15km/h,89%,1003mbar
8학년,1,3,0,0,0,"교통 문제( 차 막힘, 사고)",2명,28,scatteres clouds,24km/h,84%,1004mbar
8학년,1,3,1,0,1,늦잠,0명,28,passing clouds,9km/h,84%,1010mbar
8학년,0,6,0,4,3,늦잠,0명,27,fog,7km/h,89%,1011mbar
8학년,2,4,1,0,0,지각을 잘 안함,0명,28,fog,6km/h,89%,1011mbar
8학년,1,6,1,1,0,지각을 잘 안함,1명,27,fog,7km/h,89%,1011mbar
8학년,4,5,0,2,0,"교통 문제( 차 막힘, 사고)",1명,28,partly sunny,7km/h,84%,1010mbar
9학년,5,6,0,2,0,늦잠,0명,31,scatteres clouds,4km.h,79%,1011mbar
10학년,4,6,0,1,1,날씨 문제( 비),0명,27,partly sunny,6km/h,84%,1011mbar
11학년,5,6,0,3,0,지각을 잘 안함,0명,27,fog,9km/h,89%,1011mbar
11학년,3,4,0,3,0,지각을 잘 안함,2명,26,fog,no wind,94%,1011mbar
11학년,4,5,1,2,1, 늦잠,3명,27,passing clouds,9km/h,89%,1010mbar
11학년,0,1,1,2,0,택시 호출 지연( 날씨 영향 없는),0명,25,partly sunny,9km/h,94%,1011mbar
11학년,2,4,1,2,0,지각을 잘 안함,1명,27,broken clouds,6km/h,94%,1009mbar
11학년,2,4,1,0,0,지각을 잘 안함,3명,26,partly sunny,9km/h,94%,1009mbar
11학년,1,3,1,1,0,지각을 잘 안함,1명,28,passing clouds,11km/h,79%,1009mbar
11학년,4,6,1,1,1,"교통 문제( 차 막힘, 사고)",2명,28,partly sunny,7km/h,89%,1008mbar
11학년,2,4,1,0,0,지각을 잘 안함,3명,25,partly sunny,4km/h,89%,1006mbar
11학년,3,5,1,0,0,택시 호출 지연( 날씨 영향 없는),3명,26,scattered clouds,11km/h,94%,1008mbar
11학년,3,6,0,1,1,늦잠,0명,28,passing clouds,7km/h,89%,1010mbar
12학년,5,6,1,1,0,늦잠,6명,28,passing clouds,11km/h,79%,1009mbar
11학년,2,4,0,0,0,지각을 잘 안함,0명,27,clear,6km/h,94%,1010mbar
9학년,2,4,1,0,0,지각을 잘 안함,1명,29,sunny,4km/h,70%,1011mbar
11학년,2,4,1,0,0,날씨 문제( 비),1명,27,passing clouds,11km/h,84%,1011mbar
12학년,4,6,3,2,1,택시 호출 지연( 날씨 영향 없는),1명,28,passing clouds,4km/h,79%,1012mbar
11학년,1,6,0,3,0,"교통 문제( 차 막힘, 사고)",2명,27,sunny,4km/h,84%,1012mbar
10학년,3,5,0,1,0,지각을 잘 안함,1명,27,passing clouds,6km/h,74%,1011mbar
10학년,5,6,1,4,0,지각을 잘 안함,0명,27,fog,4km/h,89%,1010mbar
11학년,2,4,0,0,0,지각을 잘 안함,5명,28,fog,4km/h,89%,1010mbar
11학년,4,6,0,2,0,지각을 잘 안함,0명,28,partly sunny,11km/h,89%,1009mbar
11학년,4,6,1,3,1,늦잠,1명,29,sunny,15km/h,79%,1010mbar
11학년,3,5,0,0,0,택시 호출 지연( 날씨 영향 없는),3명,28,passing clouds,13km/h,84%,1010mbar
11학년,0,1,3,1,0,택시 호출 지연( 날씨 영향 없는),2명,28,clear,2km/h,79%,1010mbar
11학년,0,5,1,3,0,"교통 문제( 차 막힘, 사고)",0명,27,fog,7km/h,89%,1010mbar
11학년,2,4,1,3,1, 늦잠,4명,28,passing clouds,6km/h,79%,1011mbar
9학년,4,6,3,3,0,택시 호출 지연( 날씨 영향 없는),2명,29,clear,6km/h,79%,1009mbar
11학년,2,5,3,2,1,"교통 문제( 차 막힘, 사고)",,,,,,
11학년,0,4,0,0,0, 택시 호출 지연( 날씨 영향 없는),,,,,,
11학년,5,6,1,2,0,지각을 잘 안함,,,,,,
11학년,4,6,0,2,1,택시 호출 지연( 날씨 영향 없는),,,,,,
12학년,4,6,1,1,1,택시 호출 지연( 날씨 영향 없는),,,,,,
10학년,4,6,1,0,0,택시 호출 지연( 날씨 영향 없는),,,,,,
11학년,3,5,1,2,0,택시 호출 지연( 날씨 영향 없는),,,,,,
11학년,3,5,1,1,0,택시 호출 지연( 날씨 영향 없는),,,,,,
9학년,1,3,1,2,0,지각을 잘 안함,,,,,,
11학년,3,5,0,0,0,지각을 잘 안함,,,,,,
11학년,4,5,1,3,1,택시 호출 지연( 날씨 영향 없는),,,,,,
11학년,3,4,0,2,1,지각을 잘 안함,,,,,,
12학년,4,6,1,0,0,날씨 문제( 비),,,,,,
10학년,2,5,0,2,1,날씨 문제( 비),,,,,,
9학년,3,4,1,2,1,지각을 잘 안함,,,,,,
11학년,2,6,1,4,0,날씨 문제( 비),,,,,,
12학년,4,6,1,2,0,날씨 문제( 비),,,,,,
9학년,1,3,2,1,0,지각을 잘 안함,,,,,,
11학년,1,4,0,4,2,택시 호출 지연( 날씨 영향 없는),,,,,,
9학년,5,6,0,0,0,지각을 잘 안함,,,,,,
9학년,5,6,1,1,0,늦잠,,,,,,
9학년,1,4,0,0,0,지각을 잘 안함,,,,,,
9학년,0,3,0,3,0,지각을 잘 안함,,,,,,
9학년,4,5,0,0,0,택시 호출 지연( 날씨 영향 없는),,,,,,
9학년,4,5,1,3,1,지각을 잘 안함,,,,,,
9학년,2,4,3,0,0,지각을 잘 안함,,,,,,
9학년,1,4,0,4,0,"교통 문제( 차 막힘, 사고)",,,,,,
11학년,2,4,0,4,0,"교통 문제( 차 막힘, 사고)",,,,,,
11학년,3,4,2,1,0,날씨 문제( 비),,,,,,
11학년,1,4,1,0,1,"교통 문제( 차 막힘, 사고)",,,,,,
11학년,3,6,0,2,1,날씨 문제( 비),,,,,,
10학년,4,6,0,2,0,늦잠,,,,,,
9학년,2,3,1,0,0,늦잠,,,,,,
9학년,0,1,1,0,0,지각을 잘 안함,,,,,,
9학년,1,4,1,0,0,택시 호출 지연( 날씨 영향 없는),,,,,,
11학년,2,4,1,1,0,지각을 잘 안함,,,,,,
11학년,2,4,0,2,1,늦잠,,,,,,
9학년,5,6,0,0,1,지각을 잘 안함,,,,,,
11학년,5,6,1,3,0,지각을 잘 안함,,,,,,
11학년,4,5,1,0,1,택시 호출 지연( 날씨 영향 없는),,,,,,
11학년,1,4,1,3,1,"교통 문제( 차 막힘, 사고)",,,,,,
11학년,4,5,3,0,0,늦잠,,,,,,
9학년,0,5,0,1,0,"교통 문제( 차 막힘, 사고)",,,,,,
10학년,3,5,3,2,0,지각을 잘 안함,,,,,,
10학년,1,5,3,4,0,"교통 문제( 차 막힘, 사고)",,,,,,
10학년,1,4,0,2,0,지각을 잘 안함,,,,,,
12학년,4,5,0,1,1,지각을 잘 안함,,,,,,
9학년,5,6,1,0,0,늦잠,,,,,,
9학년,1,4,1,0,0,택시 호출 지연( 날씨 영향 없는),,,,,,
11학년,3,5,0,1,0,지각을 잘 안함,,,,,,
10학년,5,6,1,2,1,"교통 문제( 차 막힘, 사고)",,,,,,